family,cell,overlap,alpha,p,reps,lam,rmse,cv.bloss,cv.smd,cv.inf,boot.smd,boot.inf,sigma_y,n,s
dimhi,dimhi_01_r200,moderate,0.5,1000,200,1.0591249003827483,0.9448817819470972,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,1.0109860390724712,0.9440877573384576,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.965035163303288,0.941276436231389,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.9211728257555545,0.9341362128029186,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.8793040991437852,0.9223256956035951,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.8393383707741244,0.9070169173723439,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.8011891464394986,0.8894286753077437,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.7647738632280355,0.8704770415569859,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.73001371083963,0.8506635194971629,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.696833461023947,0.8298598357879664,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.665161304770733,0.8079261577911184,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.634928696900075,0.7851668416073232,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.606070207716276,0.7620857968221246,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.5785233814042884,0.7389836169004713,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.5522286008622491,0.716103895756562,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.5271289586775838,0.6936281885677718,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.5031701339674474,0.6715937245958373,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.4803002748169551,0.6500020958610185,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.45846988606077926,0.6288749662841907,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.43763172216524376,0.6082162247964726,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.41774068497909395,0.588036769607474,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.3987537261316515,0.5683399564734918,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.38062975386712367,0.5491276686607113,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.3633295441134366,0.5304017297324705,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.34681565559312866,0.5121662476442771,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.3310523487925831,0.49442553625945457,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.3160055086142354,0.4771737536477239,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.3016425705443563,0.4604243371421497,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.2879324501766237,0.4442067073021044,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.2748454759389566,0.42855863652296905,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.26235332487801827,0.41350077941624735,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.25042896136241305,0.39909986101675043,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.23904657857191744,0.3854325257202596,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
dimhi,dimhi_01_r200,moderate,0.5,1000,200,0.22818154264611562,0.37262543326479647,0.35159561390315014,0.927658700287843,0.6667612139768587,0.9053325402055481,0.32439583827197255,NA,NA,NA
