"axis","family","c_prop","sigma_y","n_ok","lam_opt","lam_bloss","lam_bootinf","nearer","winner","z"
"noise","tune4",0.7,1,500,0.00506810421728514,0.0687542866077468,0.0173390405923802,"boot.inf","boot.inf",28.2713189429998
"noise","tune4",0.7,2,500,0.0107242016326572,0.0681404203846734,0.0173130624812777,"boot.inf","boot.inf",18.3375324152666
"noise","tune4",0.7,3,500,0.0173197151538803,0.0672575647366296,0.0174496927554995,"boot.inf","boot.inf",10.1126606036809
"noise","snr_good",0.7,4,500,0.0180334165713367,0.0668357948511965,0.0170060127454109,"boot.inf","boot.inf",7.07381931459515
"noise","tune4",0.7,5,500,0.0324075650297716,0.0671399838741895,0.0168154093264145,"boot.inf","boot.inf",3.02948413930318
"noise","snr_good",0.7,7,500,0.0478335204278267,0.0679621440418458,0.017090640492968,"cv.bloss","draw",-1.33564343534929
"noise","tune4",0.7,10,500,0.0577290397839994,0.0675981648422049,0.0170327320808722,"cv.bloss","cv.bloss",-3.03277532596264
"noise","snr_good",0.7,12,500,0.0674747887109682,0.0676506736581151,0.0171215586043639,"cv.bloss","cv.bloss",-4.84319592416713
"noise","snr_good",0.7,14,500,0.0704113491980585,0.0678117708192645,0.0168257380437654,"cv.bloss","cv.bloss",-4.64676533545592
"noise","snr_good",0.7,16,500,0.0854248896417695,0.0666704779034067,0.0168617400664793,"cv.bloss","cv.bloss",-3.22497188184886
"noise","snr_good",0.7,18,500,0.0924614123619494,0.0679977187473048,0.0170911730231064,"cv.bloss","cv.bloss",-4.5166405563884
"overlap","tune4",0.7,1,500,0.00506810421728514,0.0687542866077468,0.0173390405923802,"boot.inf","boot.inf",28.2713189429998
"overlap","ov_s1",1,1,500,0.0135201579629277,0.0791309304415504,0.0270838685100014,"boot.inf","boot.inf",31.8772700225814
"overlap","tune4",1.5,1,500,0.0264678660611994,0.104860369593842,0.0581162843233439,"boot.inf","boot.inf",19.7861581410634
"overlap","ov_s1",2,1,500,0.080113660587488,0.131933555657453,0.143010682753489,"cv.bloss","draw",0.550377546810248
"overlap","tune4",2.5,1,500,0.0919527533646447,0.153477871672905,0.190700751719913,"cv.bloss","cv.bloss",-14.5681055991589
"overlap","ov_s1",3,1,500,0.139411130211802,0.169156938583053,0.210641614060054,"cv.bloss","cv.bloss",-36.4976055313839
"overlap","tune4",4,1,500,0.168451064017772,0.197640311109776,0.238107459791118,"cv.bloss","cv.bloss",-40.9206473544827
"overlap","ov_s1",5,1,500,0.208881382486137,0.217679337793861,0.256265493264327,"cv.bloss","cv.bloss",-43.4828446502246
"overlap","ov_1k",6,1,1000,0.232864206566893,0.229006550405357,0.265588154482793,"cv.bloss","cv.bloss",-54.8955813907161
"overlap","ov_1k",8,1,1000,0.253790420973407,0.246508684481291,0.278279579570057,"cv.bloss","cv.bloss",-43.4412000720776
"overlap","ov_1k",16,1,1000,0.291583273902195,0.26466469394557,0.29279266968911,"boot.inf","cv.bloss",-26.232453985534
