family,cell,alpha,sigma_y,reps,lam,rmse,cv.bloss,cv.smd,cv.inf,boot.smd,boot.inf,overlap,n,dense
alpha_bad,alpha_bad_01_r200,0,1,200,10.346066863836349,1.026211321502942,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,9.87582215739513,1.024016600320313,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,9.426950798608264,1.021606770374841,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,8.998481335838562,1.0190934919590156,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,8.589486471425019,1.0164826958193869,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,8.199081054816453,1.0137715094017643,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,7.826420166920328,1.0109570494389994,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,7.470697291520852,1.0080364286170211,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,7.131142569808974,1.005006762767929,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,6.80702113424666,1.0018651785989243,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,6.497631518159636,0.9986088219635999,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,6.202304137616571,0.9952348666794414,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,5.920399842309206,0.9917405238924916,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,5.651308532297217,0.9881230519870081,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,5.394447837624163,0.9843797670346113,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,5.149261857946914,0.9805080537738866,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,4.915219959450874,0.9765053771076951,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,4.691815626447274,0.9723692941015436,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,4.478565365167122,0.9680974664937835,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
alpha_bad,alpha_bad_01_r200,0,1,200,4.275007657379419,0.9636876735471862,0.5610829566474336,0.9200517648362377,0.7304630811155736,0.6463356566688685,0.4111653019471057,NA,NA,NA
